x	y	cut_x	y_label_idx
脸上长痘痘了要用什么护肤品	Other	脸上 长痘痘 了 要 用 什么 护肤品	6
适合运动的歌曲来一首吧	Other	适合 运动 的 歌曲 来 一首 吧	6
那我做你男朋友好不好	Other	那 我 做 你 男朋友 好不好	6
可是我没有开心的事啊	Other	可是 我 没有 开心 的 事 啊	6
现在驾校报名费多少钱儿	Other	现在 驾校 报名费 多少 钱儿	6
编剧最终还是遵循了原着的精神	Other	编剧 最终 还是 遵循 了 原着 的 精神	6
闭上眼睛什么都不要想	Other	闭上眼睛 什么 都 不要 想	6
话说你们什么时候放假	Other	话 说 你们 什么 时候 放假	6
你的快递我给你放在门卫了	Other	你 的 快递 我 给 你 放在 门卫 了	6
你为什么听不懂我说的呢	Other	你 为什么 听不懂 我 说 的 呢	6
怎么没有看到我下载的QQ浏览器	Other	怎么 没有 看到 我 下载 的 QQ 浏览器	6
天气要变热了，要准备薄一点衣服吗？	Other	天气 要 变热 了 ， 要 准备 薄 一点 衣服 吗 ？	6
两名青年司机被警方带走	Other	两名 青年 司机 被 警方 带走	6
就是我们当初在创作的时候就是以人物为主这是我们戏的最大看点	Other	就是 我们 当初 在 创作 的 时候 就是 以 人物 为主 这是 我们 戏 的 最大 看点	6
没事儿去大学好好读书哦	Other	没事儿 去 大学 好好 读书 哦	6
谁捡到瓶子聊会儿天呗	Other	谁 捡 到 瓶子 聊 会儿 天 呗	6
下周一二九号影片正式开机	Other	下周 一二九 号 影片 正式 开机	6
我还以为你不玩儿了呢	Other	我 还 以为 你 不 玩儿 了 呢	6
那是不然你有钱没地方给	Other	那 是 不然 你 有钱 没 地方 给	6
我能修改你叫我什么吗	Other	我能 修改 你 叫 我 什么 吗	6
范文芳夫妇携手亮相新婚周年无暇庆祝组图	Other	范文芳 夫妇 携手 亮相 新婚 周年 无暇 庆祝 组图	6
今儿几度啊这么热	Other	今儿 几度 啊 这么 热	6
改版主要体现在节目结构话语体系表现形式等方面	Other	改版 主要 体现 在 节目 结构 话语 体系 表现形式 等 方面	6
这样的话大家也能看到你跌倒过一次但是能在跌倒的地方爬起来	Other	这样的话 大家 也 能 看到 你 跌倒 过 一次 但是 能 在 跌倒 的 地方 爬起来	6
三角洲部队的最高长官	Other	三角洲 部队 的 最高 长官	6
演戏的时候百分百放的开生活中又是极平常的女子	Other	演戏 的 时候 百分百 放 的 开 生活 中 又 是 极 平常 的 女子	6
那你什么时候变得更聪明呢	Other	那 你 什么 时候 变得 更 聪明 呢	6
所以我们集团仍然决定大力支持这样一个活动	Other	所以 我们 集团 仍然 决定 大力支持 这样 一个 活动	6
你怎么老是听不懂我说的话呢	Other	你 怎么 老是 听不懂 我 说 的话 呢	6
怎样能直接登陆QQ但没有这项QQ应用	Other	怎样 能 直接 登陆 QQ 但 没有 这项 QQ 应用	6
希望你一辈子平平安安	Other	希望 你 一辈子 平平安安	6
我要睡觉啦眼睛都睁不开了晚安	Other	我要 睡觉 啦 眼睛 都 睁不开 了 晚安	6
还不知道什么时候放假啊	Other	还 不 知道 什么 时候 放假 啊	6
我需要你让我知道G31动车还有票吗	Other	我 需要 你 让 我 知道 G31 动车 还有 票 吗	6
请朗诵个唐诗	Other	请 朗诵 个 唐诗	6
在路上了呢好像有点迷路了	Other	在 路上 了 呢 好像 有点 迷路 了	6
你看起来是我喜欢的类型	Other	你 看起来 是 我 喜欢 的 类型	6
随便给我找个网络电台的节目听	Other	随便 给 我 找个 网络电台 的 节目 听	6
我离开娱乐圈一段时间当地人未必认识我	Other	我 离开 娱乐圈 一段时间 当地人 未必 认识 我	6
你太伤我的心了我也生气了我也不理你了	Other	你 太伤 我 的 心 了 我 也 生气 了 我 也 不理 你 了	6
这个笑话不好听也不好笑	Other	这个 笑话 不好 听 也 不好 笑	6
嗯的长沙号不会变寒暑假一次换一张卡	Other	嗯 的 长沙 号 不会 变 寒暑假 一次 换 一张 卡	6
手机上网是按时间算还是按流量算	Other	手机 上网 是 按 时间 算 还是 按 流量 算	6
帮我找一找我老婆的电话好吗	Other	帮 我 找 一 找 我 老婆 的 电话 好 吗	6
经过多反面的慎重删选评委名单终于正式确定	Other	经过 多 反面 的 慎重 删选 评委 名单 终于 正式 确定	6
李秉宪木村拓哉乔什哈奈特新片海报曝光图	Other	李秉宪 木村拓哉 乔什 哈奈特 新片 海报 曝光 图	6
两个心已经千疮百孔的人靠在了一起	Other	两个 心 已经 千疮百孔 的 人 靠 在 了 一起	6
哎呀就像我们现在这样	Other	哎呀 就 像 我们 现在 这样	6
我问你在网上去哪找女朋友	Other	我 问 你 在 网上 去 哪 找 女朋友	6
因为每个人的情况不同	Other	因为 每个 人 的 情况 不同	6
也没想到这么快就离开了	Other	也 没想到 这么 快 就 离开 了	6
帮我看下最近流行的音乐有哪些	Other	帮 我 看 下 最近 流行 的 音乐 有 哪些	6
伤后完婚爱犬陪走红毯马英九现场证婚	Other	伤后 完婚 爱犬 陪 走红 毯 马英九 现场 证婚	6
校园里听的小清新的歌曲随机来一个	Other	校园 里 听 的 小 清新 的 歌曲 随机 来 一个	6
你可以帮我介绍一个女朋友吗	Other	你 可以 帮 我 介绍 一个 女朋友 吗	6
都不知道什么时候回去	Other	都 不 知道 什么 时候 回去	6
讲修仙的广播剧播放一个吧	Other	讲 修仙 的 广播剧 播放 一个 吧	6
这次盛典共揭晓了一四个行业奖及年度人物大奖	Other	这次 盛典 共 揭晓 了 一 四个 行业 奖及 年度人物 大奖	6
是不是能随机来一首古典乐啊	Other	是不是 能 随机 来 一首 古典 乐 啊	6
抖音上的最新的歌曲来一首吧	Other	抖音 上 的 最新 的 歌曲 来 一首 吧	6
而且我确实不一样了更漂亮了至少我这样认为	Other	而且 我 确实 不 一样 了 更 漂亮 了 至少 我 这样 认为	6
你说的什么呀我没听懂	Other	你 说 的 什么 呀 我 没 听懂	6
另外英皇还承诺全力帮他力争年底的香港乐坛最受欢迎男歌星奖项	Other	另外 英皇 还 承诺 全力 帮 他 力争 年底 的 香港 乐坛 最 受欢迎 男歌星 奖项	6
唱一首比较有年代感的古风歌曲可以吗	Other	唱 一首 比较 有 年代 感 的 古风 歌曲 可以 吗	6
你有什么有趣的电台一起来分享下	Other	你 有 什么 有趣 的 电台 一 起来 分享 下	6
谢明明是男的还是女的	Other	谢 明明 是 男 的 还是 女 的	6
导演也没有喊停远征站起来找着帽子戴在头上镇定了情绪后接着演	Other	导演 也 没有 喊停 远征 站 起来 找 着 帽子 戴 在 头上 镇定 了 情绪 后 接着 演	6
有人说你是傻瓜怎么办	Other	有人 说 你 是 傻瓜 怎么办	6
人气爆棚令在场媒体感慨不已	Other	人气 爆棚 令 在场 媒体 感慨不已	6
有人叫你吃就是害你见到有人吃立刻掉头走	Other	有人 叫 你 吃 就是 害 你 见到 有人 吃 立刻 掉头 走	6
恋爱五年的张杰和谢娜曾屡次传出婚讯但都未得到二人的正面回应	Other	恋爱 五年 的 张杰 和 谢娜 曾 屡次 传出 婚讯 但 都 未 得到 二人 的 正面 回应	6
记者你觉得婚姻是需要经营的吗	Other	记者 你 觉得 婚姻 是 需要 经营 的 吗	6
最遗憾是爸爸因为年纪大不肯坐飞机	Other	最 遗憾 是 爸爸 因为 年纪 大 不肯 坐飞机	6
他表示还未起名那么他可否考虑向传媒公开的照片	Other	他 表示 还 未 起名 那么 他 可否 考虑 向 传媒 公开 的 照片	6
其实的销量只比上一周增长了一个百分点为三万二千张	Other	其实 的 销量 只 比 上 一周 增长 了 一个 百分点 为 三万二千 张	6
如果上课想睡觉该怎么办	Other	如果 上课 想 睡觉 该 怎么办	6
你能不能发你相片给我	Other	你 能 不能 发 你 相片 给 我	6
怎么给你打电话打不通	Other	怎么 给 你 打电话 打 不通	6
搞笑类的有声漫画给我播一个	Other	搞笑类 的 有声 漫画 给 我播 一个	6
水滋润了土土包容了水	Other	水 滋润 了 土土 包容 了 水	6
五官端正就行你怎么怎么	Other	五官端正 就行 你 怎么 怎么	6
讲个笑话不是讲个笑话	Other	讲个 笑话 不是 讲个 笑话	6
有第一次就会有第二次	Other	有 第一次 就 会 有 第二次	6
对不起我真的已经尽力了	Other	对不起 我 真的 已经 尽力 了	6
祝新的一年里心想事成	Other	祝新 的 一年 里 心想事成	6
如果演技总是受批评他的人气迟早回落	Other	如果 演技 总是 受 批评 他 的 人气 迟早 回落	6
她对其他人都有笑容而对我是冷淡是什么原因	Other	她 对 其他人 都 有 笑容 而 对 我 是 冷淡 是 什么 原因	6
永远不要放弃你真正想要的东西	Other	永远 不要 放弃 你 真正 想要 的 东西	6
现在买什么手机比较好	Other	现在 买 什么 手机 比较 好	6
有没有适合睡觉的纯音乐来一首	Other	有没有 适合 睡觉 的 纯音乐 来 一首	6
是不是能播放一首德国的古典音乐呢	Other	是不是 能 播放 一首 德国 的 古典音乐 呢	6
音乐风云榜提名曝光谭维维八项提名获肯定图	Other	音乐 风云榜 提名 曝光 谭 维维 八项 提名 获 肯定 图	6
我没有钱了该怎么办呀你能借我一点吗	Other	我 没有 钱 了 该 怎么办 呀 你 能 借 我 一点 吗	6
随后黎明与乐基儿杨千与丁子高统统都被网络曝光已婚的事实	Other	随后 黎明 与 乐基儿 杨千与 丁子 高 统统 都 被 网络 曝光 已婚 的 事实	6
以后可能会好也不一定	Other	以后 可能 会 好 也 不 一定	6
