x	y	cut_x	y_label_idx
给看一下墓王之王嘛	FilmTele-Play	给 看 一下 墓 王之王 嘛	3
找一个2004年的推理剧给我看一会呢	FilmTele-Play	找 一个 2004 年 的 推理 剧给 我 看 一会 呢	3
你能播放一下曹盾导演的古装悬疑剧呢	FilmTele-Play	你 能 播放 一下 曹盾 导演 的 古装 悬疑剧 呢	3
能随机给我来一个赵丽颖2020年上的剧吗	FilmTele-Play	能 随机 给 我 来 一个 赵丽颖 2020 年 上 的 剧 吗	3
能把家庭剧小欢喜给我播放一下吗	FilmTele-Play	能 把 家庭 剧小 欢喜 给 我 播放 一下 吗	3
杨延东2021年上线的剧播放来看看呢	FilmTele-Play	杨延东 2021 年 上线 的 剧 播放 来 看看 呢	3
播放美国推理电影蜘蛛侠	FilmTele-Play	播放 美国 推理 电影 蜘蛛侠	3
给我来一个美国的漫威系列电影钢铁侠1吧	FilmTele-Play	给 我 来 一个 美国 的 漫威 系列 电影 钢铁 侠 1 吧	3
吴宇森有个美国电影风语者口碑不错，我要看看	FilmTele-Play	吴宇森 有个 美国 电影 风语者 口碑 不错 ， 我要 看看	3
斗罗大陆放第13集	FilmTele-Play	斗罗 大陆 放 第 13 集	3
我想看阳光之下的第12集	FilmTele-Play	我 想 看 阳光 之下 的 第 12 集	3
播放一个韩剧窥探吧	FilmTele-Play	播放 一个 韩剧 窥探 吧	3
给我打开胡歌演的伪装者的第二十一集	FilmTele-Play	给 我 打开 胡歌演 的 伪装者 的 第二十一 集	3
电视剧，杨幂主演的亲爱的翻译官	FilmTele-Play	电视剧 ， 杨幂 主演 的 亲爱 的 翻译官	3
1点5倍速播安以轩和胡冰卿演的独孤天下	FilmTele-Play	1 点 5 倍速 播 安以轩 和 胡冰卿 演 的 独孤 天下	3
可以播放一部10年代出版的海蒂和爷爷吗？	FilmTele-Play	可以 播放 一部 10 年代 出版 的 海蒂 和 爷爷 吗 ？	3
给我找一个美剧偶像剧播放一下吧	FilmTele-Play	给 我 找 一个 美剧 偶像剧 播放 一下 吧	3
打开搜狐视频我想看在桃花盛开的地方	FilmTele-Play	打开 搜狐 视频 我 想 看 在 桃花 盛开 的 地方	3
能给我看那个玄幻剧迷离档案吗	FilmTele-Play	能 给 我 看 那个 玄幻剧 迷离 档案 吗	3
顶楼播放一下四集可以吗	FilmTele-Play	顶楼 播放 一下 四集 可以 吗	3
我是特种兵这个战争片立刻放给我	FilmTele-Play	我 是 特种兵 这个 战争片 立刻 放给 我	3
2014年的大话西游之仙履奇缘可以播放下给我不	FilmTele-Play	2014 年 的 大话西游 之仙履 奇缘 可以 播放 下 给 我 不	3
柳云龙演的胜算立刻播放	FilmTele-Play	柳云龙 演 的 胜算 立刻 播放	3
播放美国电影冰雪奇缘	FilmTele-Play	播放 美国 电影 冰雪 奇缘	3
我要看大陆片我的姐姐这个电影	FilmTele-Play	我要 看 大陆 片 我 的 姐姐 这个 电影	3
是不是能播放一个剧情片奇妙的命运呀	FilmTele-Play	是不是 能 播放 一个 剧情片 奇妙 的 命运 呀	3
能继续播放美国那个电视剧吗	FilmTele-Play	能 继续 播放 美国 那个 电视剧 吗	3
现在还是想继续看下一站幸福呢	FilmTele-Play	现在 还是 想 继续 看 下 一站 幸福 呢	3
能播放一下有范冰冰出演的电视剧秦始皇么	FilmTele-Play	能 播放 一下 有 范冰冰 出演 的 电视剧 秦始皇 么	3
去年台湾有个都市片，奇幻题材的帮我播放	FilmTele-Play	去年 台湾 有个 都市 片 ， 奇幻 题材 的 帮 我 播放	3
港片新喜剧之王播放一下可以吗	FilmTele-Play	港片 新 喜剧之王 播放 一下 可以 吗	3
能不能播放一个1999年拍的电视剧啊	FilmTele-Play	能 不能 播放 一个 1999 年 拍 的 电视剧 啊	3
给我放乱世佳人这一部爱情类电影。	FilmTele-Play	给 我 放 乱世佳人 这 一部 爱情 类 电影 。	3
我想看高伟宁、吉小龙执导的我怕来不及	FilmTele-Play	我 想 看 高伟宁 、 吉 小龙 执导 的 我 怕 来不及	3
找到美国的科幻大片给我看一个可以吗	FilmTele-Play	找到 美国 的 科幻 大片 给 我 看 一个 可以 吗	3
嗯呐朱莉主演的电视剧朱莉快逃播放给我看看可以吗	FilmTele-Play	嗯 呐 朱莉 主演 的 电视剧 朱莉 快逃 播放 给 我 看看 可以 吗	3
来一个战争片雪豹给我吧	FilmTele-Play	来 一个 战争片 雪豹 给 我 吧	3
现在只能看美国的吸血鬼日记	FilmTele-Play	现在 只能 看 美国 的 吸血鬼 日记	3
给我继播一下我前面看的言情剧呢	FilmTele-Play	给 我 继播 一下 我 前面 看 的 言情剧 呢	3
我想立刻观看一个日本的喜剧，古代的	FilmTele-Play	我 想 立刻 观看 一个 日本 的 喜剧 ， 古代 的	3
可以在搜狐上播放娘道吧	FilmTele-Play	可以 在 搜狐 上 播放 娘道 吧	3
甄子丹刘德华演的追龙现在给我放	FilmTele-Play	甄子丹 刘德华 演 的 追龙 现在 给 我 放	3
给我播放一个韩国2021年的电视剧可以吗	FilmTele-Play	给 我 播放 一个 韩国 2021 年 的 电视剧 可以 吗	3
我要看大陆片横空出世这个电影	FilmTele-Play	我要 看 大陆 片 横空出世 这个 电影	3
继续看一会宫斗剧如懿传可以吗	FilmTele-Play	继续 看 一会 宫斗剧 如懿传 可以 吗	3
能不能播放一个李易峰的古装剧看看，除了古剑之外	FilmTele-Play	能 不能 播放 一个 李易峰 的 古装剧 看看 ， 除了 古剑 之外	3
我需要你播放犯罪电视剧毛骗第一部	FilmTele-Play	我 需要 你 播放 犯罪 电视剧 毛骗 第一部	3
可以播放郑凯演的密查吧	FilmTele-Play	可以 播放 郑凯演 的 密查 吧	3
动作片李冰冰主演的风声	FilmTele-Play	动作片 李冰冰 主演 的 风声	3
韩国2015年上的电影魔女给我播放一下吧	FilmTele-Play	韩国 2015 年 上 的 电影 魔女 给 我 播放 一下 吧	3
我想连着上次看的那个迪丽热巴的那个剧看	FilmTele-Play	我 想 连 着 上次 看 的 那个 迪丽 热巴 的 那个 剧看	3
看快进播放的三十集风暴舞	FilmTele-Play	看快 进 播放 的 三十 集 风暴 舞	3
请播放由张子枫主演的电影我的姐姐。	FilmTele-Play	请 播放 由 张子枫 主演 的 电影 我 的 姐姐 。	3
继续播放琉璃第10集之后的剧集	FilmTele-Play	继续 播放 琉璃 第 10 集 之后 的 剧集	3
立刻播放一下武藤兰的日本电视剧呢	FilmTele-Play	立刻 播放 一下 武藤兰 的 日本 电视剧 呢	3
恶魔在身边台湾偶像剧1点25倍速播放	FilmTele-Play	恶魔 在 身边 台湾 偶像剧 1 点 25 倍速 播放	3
是不是能帮我播放台湾艺人林心如的戏	FilmTele-Play	是不是 能 帮 我 播放 台湾 艺人 林心如 的 戏	3
来一个美国电影变形金刚1	FilmTele-Play	来 一个 美国 电影 变形金刚 1	3
帮我播放班长殿下	FilmTele-Play	帮 我 播放 班长 殿下	3
大陆的有关鸦片战争的电影能播放一个么	FilmTele-Play	大陆 的 有关 鸦片战争 的 电影 能 播放 一个 么	3
请继续播放美国权力的游戏的第二季	FilmTele-Play	请 继续 播放 美国 权力 的 游戏 的 第二季	3
播放青春抛物线的大结局	FilmTele-Play	播放 青春 抛物线 的 大结局	3
我想看赵薇90年代的剧	FilmTele-Play	我 想 看 赵薇 90 年代 的 剧	3
睡觉之前我要看2006年英国喜剧电影女王	FilmTele-Play	睡觉 之前 我要 看 2006 年 英国 喜剧电影 女王	3
我想继续看一个盗墓片帮我找个类似于怒晴湘西的	FilmTele-Play	我 想 继续 看 一个 盗墓 片帮 我 找个 类似 于 怒 晴 湘西 的	3
我现在就要看赵露思演的古装剧的第30集	FilmTele-Play	我 现在 就要 看 赵露 思演 的 古装剧 的 第 30 集	3
历史类的电影随机来一个90年代的吧	FilmTele-Play	历史 类 的 电影 随机 来 一个 90 年代 的 吧	3
李一桐出演的电视剧堆积来一个吧	FilmTele-Play	李一桐 出演 的 电视剧 堆积 来 一个 吧	3
播放不完美的她	FilmTele-Play	播放 不 完美 的 她	3
我想看泰国的偶像剧呢青春一点的	FilmTele-Play	我 想 看 泰国 的 偶像剧 呢 青春 一点 的	3
90年代美国的科幻片儿有吗，看一个	FilmTele-Play	90 年代 美国 的 科幻片 儿有 吗 ， 看 一个	3
偶像剧幸福触手可及最后一集播放一下	FilmTele-Play	偶像剧 幸福 触手可及 最后 一集 播放 一下	3
你可以帮我播放一下啊摇篮吧	FilmTele-Play	你 可以 帮 我 播放 一下 啊 摇篮 吧	3
