x	y	cut_x	y_label_idx
帮我定一个22号下午2点参加公司年会的闹钟。	Alarm-Update	帮 我定 一个 22 号 下午 2 点 参加 公司 年会 的 闹钟 。	0
6月18号零点京东的拍卖活动提醒我一下。	Alarm-Update	6 月 18 号 零点 京东 的 拍卖 活动 提醒 我 一下 。	0
麻烦帮我创建一个周末上午8点和女朋友的约会提醒。	Alarm-Update	麻烦 帮 我 创建 一个 周末 上午 8 点 和 女朋友 的 约会 提醒 。	0
5月8号下午4点之前的提醒取消掉	Alarm-Update	5 月 8 号 下午 4 点 之前 的 提醒 取消 掉	0
快点帮我定一个周末上午9点跟家人一起去动物园的闹钟。	Alarm-Update	快点 帮 我定 一个 周末 上午 9 点 跟 家人 一起 去 动物园 的 闹钟 。	0
下周六我爷爷让我去买茶叶，记得提醒我	Alarm-Update	下周六 我 爷爷 让 我 去 买 茶叶 ， 记得 提醒 我	0
明天叫我去森林野炊	Alarm-Update	明天 叫 我 去 森林 野炊	0
明天9点的闹钟不要再响了	Alarm-Update	明天 9 点 的 闹钟 不要 再响 了	0
能不能将5点的闹钟修改成6点	Alarm-Update	能 不能 将 5 点 的 闹钟 修改 成 6 点	0
设定8点上毛选课的闹钟	Alarm-Update	设定 8 点上 毛 选课 的 闹钟	0
设定凌晨3点给宝宝冲奶粉	Alarm-Update	设定 凌晨 3 点 给 宝宝 冲 奶粉	0
将明天上午的闹钟全部删除	Alarm-Update	将 明天 上午 的 闹钟 全部 删除	0
可以提醒我周六是小丽的生日吗	Alarm-Update	可以 提醒 我 周六 是 小丽 的 生日 吗	0
能不能帮我设置连续60天提醒我发朋友圈	Alarm-Update	能 不能 帮 我 设置 连续 60 天 提醒 我发 朋友圈	0
将9点和12点的闹铃删除	Alarm-Update	将 9 点 和 12 点 的 闹铃 删除	0
设置一个今天下午6点的做饭的闹钟	Alarm-Update	设置 一个 今天下午 6 点 的 做饭 的 闹钟	0
11天之后提醒我给我妈发红包	Alarm-Update	11 天 之后 提醒 我 给 我 妈 发红包	0
每天7点的那个提醒关掉吧	Alarm-Update	每天 7 点 的 那个 提醒 关掉 吧	0
你给我定一个星期六下午六点的闹钟	Alarm-Update	你 给 我定 一个 星期六 下午 六点 的 闹钟	0
明天10点闹钟你给我定好了吗	Alarm-Update	明天 10 点 闹钟 你 给 我定 好了吗	0
五一下午2点去王府井逛街的闹钟定一下。	Alarm-Update	五一 下午 2 点去 王府井 逛街 的 闹钟 定 一下 。	0
明天上午所有的闹钟你帮我打开了吗	Alarm-Update	明天 上午 所有 的 闹钟 你 帮 我 打开 了 吗	0
