x	y	cut_x	y_label_idx
随便播放一首专辑阁楼里的佛里的歌	Music-Play	随便 播放 一首 专辑 阁楼 里 的 佛里 的 歌	5
单曲循环一首催眠的歌吧	Music-Play	单曲 循环 一首 催眠 的 歌 吧	5
播放钢琴曲命运交响曲	Music-Play	播放 钢琴曲 命运 交响曲	5
我要听治愈系的日语歌曲	Music-Play	我要 听 治愈 系 的 日语 歌曲	5
我一定要单曲循环赵雷的我们的时光这首流行	Music-Play	我 一定 要 单曲 循环 赵雷 的 我们 的 时光 这首 流行	5
播放一首适合开心时候听的歌曲呢	Music-Play	播放 一首 适合 开心 时候 听 的 歌曲 呢	5
我想听顽童的辣台妹能播放一下不	Music-Play	我 想 听 顽童 的 辣台 妹能 播放 一下 不	5
2011年最浪漫的歌来一首呗	Music-Play	2011 年 最 浪漫 的 歌来 一首 呗	5
来放一个德语歌曲给我吧	Music-Play	来放 一个 德语 歌曲 给 我 吧	5
播放日语歌泪的物语	Music-Play	播放 日语 歌泪 的 物语	5
请给我来一首吴亦凡的英文歌July。	Music-Play	请 给 我 来 一首 吴亦凡 的 英文歌 July 。	5
循环播放张哲瀚的环绕吧	Music-Play	循环 播放 张哲瀚 的 环绕 吧	5
请播放带戏曲唱腔的专辑赤伶，李玉刚版的	Music-Play	请 播放 带 戏曲 唱腔 的 专辑 赤伶 ， 李玉刚 版 的	5
一定循环播放我们的时光这首流行	Music-Play	一定 循环 播放 我们 的 时光 这首 流行	5
呼吸之野里的歌曲随便来一首播放一下吧	Music-Play	呼吸 之野里 的 歌曲 随便 来 一首 播放 一下 吧	5
法语歌曲可以随机来一首不	Music-Play	法语 歌曲 可以 随机 来 一首 不	5
可以随机给我来一曲山河令电视剧里面的歌呢	Music-Play	可以 随机 给 我 来 一曲 山河 令 电视剧 里面 的 歌 呢	5
90年代比较搞笑的歌曲来一些听听	Music-Play	90 年代 比较 搞笑 的 歌曲 来 一些 听听	5
放一首扬琴版的梁祝	Music-Play	放 一首 扬琴 版 的 梁祝	5
给我找一首蔡琴的歌听听	Music-Play	给 我 找 一首 蔡琴 的 歌 听听	5
我想播放张信哲的下一个永远中的白月光	Music-Play	我 想 播放 张信哲 的 下 一个 永远 中 的 白月光	5
