x	y	cut_x	y_label_idx
五一劳动节是农历几时	Calendar-Query	五一劳动节 是 农历 几时	2
快帮我查一下明天是星期几	Calendar-Query	快帮 我查 一下 明天 是 星期 几	2
农历的3月26是几号	Calendar-Query	农历 的 3 月 26 是 几号	2
龙抬头是什么时候	Calendar-Query	龙抬头 是 什么 时候	2
古尔邦节是农历的什么时候	Calendar-Query	古尔邦节 是 农历 的 什么 时候	2
1月18日是农历几月几号	Calendar-Query	1 月 18 日 是 农历 几月 几号	2
快点帮我查查礼拜几是4月的17日	Calendar-Query	快点 帮 我 查查 礼拜 几是 4 月 的 17 日	2
春节是星期几	Calendar-Query	春节 是 星期 几	2
多少月多少号是农历的2月12	Calendar-Query	多少 月 多少 号 是 农历 的 2 月 12	2
星期几是母亲节	Calendar-Query	星期 几是 母亲节	2
酥油花灯节是什么哪天	Calendar-Query	酥油花 灯节 是 什么 哪 天	2
农历的7初19是星期几	Calendar-Query	农历 的 7 初 19 是 星期 几	2
大后天是几号	Calendar-Query	大后天 是 几号	2
今天是5号明天是几号	Calendar-Query	今天 是 5 号 明天 是 几号	2
帮我看一看农历7月18和农历7月19哪天是9月2号啊	Calendar-Query	帮 我 看一看 农历 7 月 18 和 农历 7 月 19 哪天 是 9 月 2 号 啊	2
帮我查一下明年国庆节是星期几	Calendar-Query	帮 我查 一下 明年 国庆节 是 星期 几	2
立即告诉我明天的农历是多少啊	Calendar-Query	立即 告诉 我 明天 的 农历 是 多少 啊	2
告诉我什么时候是清明节	Calendar-Query	告诉 我 什么 时候 是 清明节	2
后天的农历是几号	Calendar-Query	后天 的 农历 是 几号	2
现在就想查查下个月二十号是不是父亲节	Calendar-Query	现在 就 想 查查 下个月 二十 号 是不是 父亲节	2
你知道阴历5月22是阳历几号	Calendar-Query	你 知道 阴历 5 月 22 是 阳历 几号	2
查查昨天应该是什么节日	Calendar-Query	查查 昨天 应该 是 什么 节日	2
9月9是什么节	Calendar-Query	9 月 9 是 什么 节	2
请问一下下周日是几号	Calendar-Query	请问 一下 下周日 是 几号	2
去年的谷雨是周几	Calendar-Query	去年 的 谷雨 是 周几	2
4月10日和4月9日哪天是星期三	Calendar-Query	4 月 10 日 和 4 月 9 日 哪天 是 星期三	2
今年的那达慕什么时候举行	Calendar-Query	今年 的 那达慕 什么 时候 举行	2
马上瞅瞅几月几号是建党节	Calendar-Query	马上 瞅 瞅 几月 几号 是 建党 节	2
赶紧说说几月几号是这个周一呢	Calendar-Query	赶紧 说 说 几月 几号 是 这个 周一 呢	2
今年的寒露是几月几号	Calendar-Query	今年 的 寒露 是 几月 几号	2
查询星期三是什么节日呢	Calendar-Query	查询 星期三 是 什么 节日 呢	2
星期几是国庆节	Calendar-Query	星期 几是 国庆节	2
看看九月有流星雨的那天是几号	Calendar-Query	看看 九月 有 流星雨 的 那天 是 几号	2
赶紧告诉我农历5月5是什么节日	Calendar-Query	赶紧 告诉 我 农历 5 月 5 是 什么 节日	2
你现在就告诉我答案几月几号是这个礼拜六啊	Calendar-Query	你 现在 就 告诉 我 答案 几月 几号 是 这个 礼拜六 啊	2
六一儿童节的农历是几号	Calendar-Query	六一 儿童节 的 农历 是 几号	2
告诉我大前天是农历多少	Calendar-Query	告诉 我 大前天 是 农历 多少	2
今年的愚人节是什么时候	Calendar-Query	今年 的 愚人节 是 什么 时候	2
今年的中秋节是九月几日	Calendar-Query	今年 的 中秋节 是 九月 几日	2
9月15号是星期几啊	Calendar-Query	9 月 15 号 是 星期 几 啊	2
查询中国的阴历正月19日是星期几呢	Calendar-Query	查询 中国 的 阴历 正月 19 日 是 星期 几 呢	2
看一下4月21日是阴历多少	Calendar-Query	看 一下 4 月 21 日 是 阴历 多少	2
美国的大蒜节是几月几号	Calendar-Query	美国 的 大蒜 节是 几月 几号	2
能不能帮我报下星期几是农历的2月初1	Calendar-Query	能 不能 帮 我 报 下星期 几是 农历 的 2 月初 1	2
元宵节在几月	Calendar-Query	元宵节 在 几月	2
查查明天的日历表是多少号	Calendar-Query	查查 明天 的 日历表 是 多少 号	2
狂欢节是周几	Calendar-Query	狂欢节 是 周几	2
农历的中元节是周几	Calendar-Query	农历 的 中元节 是 周几	2
现在能说说礼拜几是10月的10日吗	Calendar-Query	现在 能 说 说 礼拜 几是 10 月 的 10 日 吗	2
查下日历后天的农历是几号	Calendar-Query	查下 日历 后天 的 农历 是 几号	2
周末两天分别是多少号	Calendar-Query	周末 两天 分别 是 多少 号	2
我要马上知道大后天是农历几月初几呢	Calendar-Query	我要 马上 知道 大后天 是 农历 几 月初 几 呢	2
加拿大的土拨鼠节是什么时候	Calendar-Query	加拿大 的 土拨鼠 节是 什么 时候	2
帮我查一下后天是农历几月几日	Calendar-Query	帮 我查 一下 后天 是 农历 几月 几日	2
后天是不是清明节呢	Calendar-Query	后天 是不是 清明节 呢	2
开门节是几月几号	Calendar-Query	开门 节是 几月 几号	2
回答我想知道今天是礼拜几呀	Calendar-Query	回答 我 想 知道 今天 是 礼拜 几呀	2
我想知道中国的阴历4月15是哪一天呢	Calendar-Query	我 想 知道 中国 的 阴历 4 月 15 是 哪一天 呢	2
今年的忏悔节是周几	Calendar-Query	今年 的 忏悔 节是 周几	2
今年的几月几号是摩洛哥新娘节	Calendar-Query	今年 的 几月 几号 是 摩洛哥 新娘 节	2
我非常需要知道星期日是哪天啊	Calendar-Query	我 非常 需要 知道 星期日 是 哪天 啊	2
搜索3月5日是星期几	Calendar-Query	搜索 3 月 5 日 是 星期 几	2
今年的三月节是什么时候	Calendar-Query	今年 的 三月 节是 什么 时候	2
赶快查一查几月几号是春节呢	Calendar-Query	赶快 查一查 几月 几号 是 春节 呢	2
七夕是周几	Calendar-Query	七夕 是 周几	2
前年的国庆节是什么时候	Calendar-Query	前年 的 国庆节 是 什么 时候	2
农历的麦尔节是哪天	Calendar-Query	农历 的 麦尔节 是 哪天	2
农历的立夏是哪天	Calendar-Query	农历 的 立夏是 哪天	2
我想要了解农历12月17是礼拜几	Calendar-Query	我 想要 了解 农历 12 月 17 是 礼拜 几	2
告诉我祖鲁节是几月几号	Calendar-Query	告诉 我 祖鲁 节是 几月 几号	2
农历的什么时候是建军节	Calendar-Query	农历 的 什么 时候 是 建军节	2
给他报一下农历的几月几号是乞巧节啊	Calendar-Query	给 他 报 一下 农历 的 几月 几号 是 乞巧 节 啊	2
今年什么时候是虫王节	Calendar-Query	今年 什么 时候 是 虫 王节	2
我想看看这个月15号是星期几	Calendar-Query	我 想 看看 这个 月 15 号 是 星期 几	2
