分词后的文本	真实标签id	预测标签id	真实标签	预测标签
续播 四大名著 红楼梦 小说 的 第五十章	1	3	Audio-Play	FilmTele-Play
现在 请 给 我续播 韩寒 的 一座 城池 第二十章	1	3	Audio-Play	FilmTele-Play
给 我 播放 法国 长篇小说 悲惨世界 的 日文版	1	3	Audio-Play	FilmTele-Play
接着 上次 的 续播 一下 百万英镑 法语 版 的 第五章 来 听	1	3	Audio-Play	FilmTele-Play
放 幽默小说 变色龙	1	3	Audio-Play	FilmTele-Play
我 想 听 诗经 里 的 风雨	1	3	Audio-Play	FilmTele-Play
泼墨 门前 默多克 妻子 邓文迪 与 章子怡 关系 很铁	1	3	Audio-Play	FilmTele-Play
请 给 我 循环 播放 伊索 寓言 书里 的	1	5	Audio-Play	Music-Play
循环 播放 一下 庄周梦蝶 这个 寓言	1	5	Audio-Play	Music-Play
现在 开始 循环 播 一下 茅屋 为 秋风 所破歌 这首 诗	1	5	Audio-Play	Music-Play
请 用 英文 播放 赠 汪伦 这首 诗	1	5	Audio-Play	Music-Play
想 听 奥斯丁 的 傲慢 与 偏见 英文版	1	5	Audio-Play	Music-Play
放 侠客行 这首 诗来 听	1	5	Audio-Play	Music-Play
给 我 找个 南派 三叔 的 小说吧	1	5	Audio-Play	Music-Play
请 给 我 循环 播 一下 行路难 这首 诗	1	5	Audio-Play	Music-Play
放 静夜 思 这首 诗来 给 我 听	1	5	Audio-Play	Music-Play
我要 看 经典 咏 流传	1	5	Audio-Play	Music-Play
睡 前续播 沈从文 的 边城 第五章 来 听	1	10	Audio-Play	Video-Play
