x	y	cut_x	y_label_idx
想看一下今天的南海海洋天气预报，给我调到南海吧	TVProgram-Play	想 看 一下 今天 的 南海 海洋 天气预报 ， 给 我 调到 南海 吧	8
帮我搜索一下CCTV2的一槌定音	TVProgram-Play	帮 我 搜索 一下 CCTV2 的 一槌定音	8
上午电视演的的都市朋友圈都讲了些什么我想看下	TVProgram-Play	上午 电视 演 的 的 都市 朋友圈 都 讲 了 些 什么 我 想 看 下	8
3月18日那天电影台有啥电影好看，帮我看下	TVProgram-Play	3 月 18 日 那天 电影台 有 啥 电影 好看 ， 帮 我 看 下	8
我想再回味一遍周三凌晨一点播放的平民英雄	TVProgram-Play	我 想 再 回味 一遍 周三 凌晨 一点 播放 的 平民 英雄	8
打开现在正在播放的熊出没之探险日记2	TVProgram-Play	打开 现在 正在 播放 的 熊出没 之 探险 日记 2	8
可以帮我转到广西粽子旅游的法治最前线吗我想看下	TVProgram-Play	可以 帮 我 转到 广西 粽子 旅游 的 法治 最 前线 吗 我 想 看 下	8
打开CCTV15音乐看看在播放什么歌曲	TVProgram-Play	打开 CCTV15 音乐 看看 在 播放 什么 歌曲	8
可不可以帮我调到河南电视剧看看有什么今天有什么节目	TVProgram-Play	可不可以 帮 我 调到 河南 电视剧 看看 有 什么 今天 有 什么 节目	8
帮我找下3月8日的中央综艺有啥节目	TVProgram-Play	帮 我 找 下 3 月 8 日 的 中央 综艺 有 啥 节目	8
回放昨天下午4点在CCTV11播出的青春戏苑	TVProgram-Play	回放 昨天下午 4 点 在 CCTV11 播出 的 青春 戏苑	8
电影频道4点41播放的大进军再回看一下	TVProgram-Play	电影频道 4 点 41 播放 的 大 进军 再 回 看 一下	8
查找CCTV5体育频道已经播出的国际足球赛场-20-21赛季意甲联赛第38轮1	TVProgram-Play	查找 CCTV5 体育频道 已经 播出 的 国际足球 赛场 - 20 - 21 赛季 意甲 联赛 第 38 轮 1	8
上星期五有播新相亲大会吗帮我看下	TVProgram-Play	上 星期五 有播 新 相亲 大会 吗 帮 我 看 下	8
我儿子要看猪猪侠之深海小英雄帮我调到那	TVProgram-Play	我 儿子 要 看 猪猪 侠 之 深海 小 英雄 帮 我 调到 那	8
帮我查看今天的中国梦主题纪录片啥时候进行吧	TVProgram-Play	帮 我 查看 今天 的 中国 梦 主题 纪录片 啥时候 进行 吧	8
帮我查找CCTV3的文化十分-2021-104期	TVProgram-Play	帮 我 查找 CCTV3 的 文化 十分 - 2021 - 104 期	8
请帮我转到山东农科查看看现在播放的一切为了群众	TVProgram-Play	请 帮 我 转到 山东 农科 查看 看 现在 播放 的 一切 为了 群众	8
6点55了我要看早间天气预报	TVProgram-Play	6 点 55 了 我 要 看 早间 天气预报	8
看看5月15日的中央综艺有什么好看的节目	TVProgram-Play	看看 5 月 15 日 的 中央 综艺 有 什么 好看 的 节目	8
2点了CCTV13新闻正在播放新闻直播间吗看下	TVProgram-Play	2 点 了 CCTV13 新闻 正在 播放 新闻 直播间 吗 看 下	8
打开今天的江苏综艺看看吧	TVProgram-Play	打开 今天 的 江苏 综艺 看看 吧	8
精品剧场设局第四十四集在十点二十分已经开播了吗帮我看下	TVProgram-Play	精品 剧场 设局 第四十四 集在 十点 二十分 已经 开播 了 吗 帮 我 看 下	8
济南生活的交通进行时还在直播中吗我想看下	TVProgram-Play	济南 生活 的 交通 进行 时 还 在 直播 中 吗 我 想 看 下	8
康复之路是在辽宁北方播放吗帮我看下	TVProgram-Play	康复 之路 是 在 辽宁 北方 播放 吗 帮 我 看 下	8
回放一下5月13的今日说法	TVProgram-Play	回放 一下 5 月 13 的 今日说法	8
4月30日的棒球周刊还有回放吗帮我看下	TVProgram-Play	4 月 30 日 的 棒球 周刊 还有 回放 吗 帮 我 看 下	8
重温周四的经济焦点	TVProgram-Play	重温 周四 的 经济 焦点	8
回看昨天在CCTV11播出的大侠霍元甲第26集	TVProgram-Play	回看 昨天 在 CCTV11 播出 的 大侠 霍元甲 第 26 集	8
回放湖南卫视播过的隐秘而伟大	TVProgram-Play	回放 湖南卫视 播过 的 隐秘 而 伟大	8
广西卫视现在播放的是广西新闻吗帮我看下	TVProgram-Play	广西 卫视 现在 播放 的 是 广西 新闻 吗 帮 我 看 下	8
快乐大pk完了之后要播放什么节目给我打开吧	TVProgram-Play	快乐 大 pk 完 了 之后 要 播放 什么 节目 给 我 打开 吧	8
我要看电影频道播出的天净沙帮我回播一下	TVProgram-Play	我要 看 电影频道 播出 的 天净沙 帮 我 回播 一下	8
今天的法治新闻给我预约播放	TVProgram-Play	今天 的 法治 新闻 给 我 预约 播放	8
李佳奇在电视上做带货直播帮我找找	TVProgram-Play	李佳奇 在 电视 上 做 带货 直播 帮 我 找 找	8
麻烦回访一下凌晨四点十分的世界看湖南	TVProgram-Play	麻烦 回访 一下 凌晨 四点 十分 的 世界 看 湖南	8
六点了打开少儿台看棉花糖和云朵妈妈	TVProgram-Play	六点 了 打开 少儿 台看 棉花 糖 和 云朵 妈妈	8
帮我放喜羊羊与灰太狼之运动英雄传7点23的视频回放	TVProgram-Play	帮 我 放喜 羊羊 与 灰 太 狼 之 运动 英雄传 7 点 23 的 视频 回放	8
珠江的加油站小茉播放了吗帮我看下	TVProgram-Play	珠江 的 加油站 小 茉 播放 了 吗 帮 我 看 下	8
现在正在中央1套播放的温州三家人帮我放一下	TVProgram-Play	现在 正在 中央 1 套 播放 的 温州 三家 人帮 我 放 一下	8
明天的济南新闻综合有什么节目啊	TVProgram-Play	明天 的 济南 新闻 综合 有 什么 节目 啊	8
吉林生活5月21日的早间剧场都播了些什么剧场	TVProgram-Play	吉林 生活 5 月 21 日 的 早间 剧场 都播 了 些 什么 剧场	8
倾城绝恋在晚上十点才播吗帮我看下	TVProgram-Play	倾城 绝恋 在 晚上 十点 才播 吗 帮 我 看 下	8
回放中午的城市记录	TVProgram-Play	回放 中午 的 城市 记录	8
我想了解广东美食，给我打开下午两点四十八分的老广的味道第六集	TVProgram-Play	我 想 了解 广东 美食 ， 给 我 打开 下午 两点 四十八 分 的 老广 的 味道 第六集	8
播放一下今天零点的新闻简报	TVProgram-Play	播放 一下 今天 零点 的 新闻简报	8
打开3月18的早安江苏，想了解下那天的新闻	TVProgram-Play	打开 3 月 18 的 早安 江苏 ， 想 了解 下 那天 的 新闻	8
