x	y	cut_x	y_label_idx
给我找个雨果的小说来放	Audio-Play	给 我 找个 雨果 的 小说 来放	1
现在请播放宇尘的悬疑小说无罪谋杀	Audio-Play	现在 请 播放 宇尘 的 悬疑 小说 无罪 谋杀	1
广播剧默读的预告帮我播放	Audio-Play	广播剧 默读 的 预告 帮 我 播放	1
讲一下打火匣的故事英文版的	Audio-Play	讲 一下 打火 匣 的 故事 英文版 的	1
恋爱题材的有声小说随便播一个吧	Audio-Play	恋爱 题材 的 有声 小说 随便 播 一个 吧	1
我要听刺猬汉斯的故事	Audio-Play	我要 听 刺猬 汉斯 的 故事	1
恐怖小说接着放七根凶简这部的第四章	Audio-Play	恐怖 小说 接着 放 七根 凶简 这部 的 第四章	1
我要循环播放张籍的秋思	Audio-Play	我要 循环 播放 张籍 的 秋思	1
姜广涛配音的广播剧随便给我播放一个	Audio-Play	姜广涛 配音 的 广播剧 随便 给 我 播放 一个	1
播放一下岳云鹏的单口相声听	Audio-Play	播放 一下 岳云鹏 的 单口相声 听	1
请给我循环播小猪变形记这个故事	Audio-Play	请 给 我 循环 播 小猪 变形记 这个 故事	1
白眉大侠放给我听一下吧	Audio-Play	白眉 大侠 放给 我 听 一下 吧	1
随便播放一个有声小说	Audio-Play	随便 播放 一个 有声 小说	1
播放童话故事谁是最幸运的英文版的	Audio-Play	播放 童话故事 谁 是 最 幸运 的 英文版 的	1
我想听2001年赵本山的小品拐卖	Audio-Play	我 想 听 2001 年 赵本山 的 小品 拐卖	1
播放爱情类型的广播剧听听吧	Audio-Play	播放 爱情 类型 的 广播剧 听听 吧	1
网游的广播剧随便播放一个	Audio-Play	网游 的 广播剧 随便 播放 一个	1
我想听诗经里的风雨	Audio-Play	我 想 听 诗经 里 的 风雨	1
开始循环放一下春日忆李白这首诗吧	Audio-Play	开始 循环 放 一下 春日 忆 李白 这首 诗 吧	1
现在开始循环播一下茅屋为秋风所破歌这首诗	Audio-Play	现在 开始 循环 播 一下 茅屋 为 秋风 所破歌 这首 诗	1
给我找出来刘兰芳讲的杨家将全传听听	Audio-Play	给 我 找 出来 刘兰芳 讲 的 杨家将 全传 听听	1
放一下一本不说话的书这个故事吧	Audio-Play	放 一下 一本 不 说话 的 书 这个 故事 吧	1
我要听小说俄语版的威尼斯商人	Audio-Play	我要 听 小说 俄语 版 的 威尼斯 商人	1
放一下假话国历险记这个故事的俄语版	Audio-Play	放 一下 假话 国 历险记 这个 故事 的 俄语 版	1
给我来一段郭德纲于谦的相声就是有钱听听看	Audio-Play	给 我 来 一段 郭德纲 于 谦 的 相声 就是 有钱 听听看	1
马上给我放白居易的咏怀	Audio-Play	马上 给 我 放 白居易 的 咏怀	1
放一个亡羊补牢寓言给小朋友听	Audio-Play	放 一个 亡羊补牢 寓言 给 小朋友 听	1
播一首王安石的梅花	Audio-Play	播 一首 王安石 的 梅花	1
请现在给我续播伊迪丝.华顿的小说纯真年代的第五章	Audio-Play	请 现在 给 我续播 伊迪丝 . 华顿 的 小说 纯真 年代 的 第五章	1
播一个姜广涛配音的刑侦广播剧	Audio-Play	播 一个 姜广涛 配音 的 刑侦 广播剧	1
播放小品心愿听听看	Audio-Play	播放 小品 心愿 听听看	1
播放一个潘长江的春晚小品来听	Audio-Play	播放 一个 潘长江 的 春晚 小品 来 听	1
散步时候听循环播一下宋小宝的小品吃放	Audio-Play	散步 时候 听 循环 播 一下 宋 小宝 的 小品 吃放	1
播放甄嬛传的有声小说	Audio-Play	播放 甄 嬛 传 的 有声 小说	1
循环的播放陆游的诗词	Audio-Play	循环 的 播放 陆游 的 诗词	1
马上给我讲一个农夫和蛇的寓言	Audio-Play	马上 给 我 讲 一个 农夫 和 蛇 的 寓言	1
给放歌舞升平这个相声来听一下	Audio-Play	给 放 歌舞升平 这个 相声 来 听 一下	1
广播剧破云的预告帮我播放	Audio-Play	广播剧 破云 的 预告 帮 我 播放	1
给我讲讲潘多拉这个故事	Audio-Play	给 我 讲讲 潘多拉 这个 故事	1
放一下村上春树的长篇小说挪威的森林	Audio-Play	放 一下 村上春树 的 长篇小说 挪威 的 森林	1
继续播放玄幻小说轮回的第二章	Audio-Play	继续 播放 玄幻 小说 轮回 的 第二章	1
播放一下百家讲坛等会听	Audio-Play	播放 一下 百家讲坛 等 会 听	1
播放一下张云雷杨九郎的对口相声	Audio-Play	播放 一下张 云雷 杨九郎 的 对口相声	1
现在给我播变色龙的第三章来听	Audio-Play	现在 给 我播 变色龙 的 第三章 来 听	1
苏尚卿配音的广播剧帮我找找	Audio-Play	苏尚卿 配音 的 广播剧 帮 我 找 找	1
放一个狼和小羊的故事给小朋友听吧	Audio-Play	放 一个 狼 和 小羊 的 故事 给 小朋友 听 吧	1
给我放一下张爱玲的小说倾城之恋	Audio-Play	给 我 放 一下 张爱玲 的 小说 倾城 之恋	1
刘兰芳讲的彭公案播放一下	Audio-Play	刘兰芳 讲 的 彭 公案 播放 一下	1
给我播放法国长篇小说悲惨世界的日文版	Audio-Play	给 我 播放 法国 长篇小说 悲惨世界 的 日文版	1
想听奥斯丁的傲慢与偏见英文版	Audio-Play	想 听 奥斯丁 的 傲慢 与 偏见 英文版	1
继续放高尔基的小说在人间的第二章	Audio-Play	继续 放 高尔基 的 小说 在 人间 的 第二章	1
给我放一下我存在你的所有角落这个小说	Audio-Play	给 我 放 一下 我 存在 你 的 所有 角落 这个 小说	1
给我放一个李商隐的诗词吧	Audio-Play	给 我 放 一个 李商隐 的 诗词 吧	1
给我播放一个郭德纲相声听	Audio-Play	给 我 播放 一个 郭德纲 相声 听	1
给我循环放一下阿凡提的故事	Audio-Play	给 我 循环 放 一下 阿凡提 的 故事	1
给我播一个斯蒂芬妮梅尔的惊悚小说暮光之城	Audio-Play	给 我播 一个 斯蒂芬 妮 梅尔 的 惊悚 小说 暮光 之城	1
给我播托马斯.哈里斯的小说沉默的羔羊俄语版的	Audio-Play	给 我播 托马斯 . 哈里斯 的 小说 沉默 的 羔羊 俄语 版 的	1
