x	y	cut_x	y_label_idx
还有双鸭山到淮阴的汽车票吗13号的	Travel-Query	还有 双鸭山 到 淮阴 的 汽车票 吗 13 号 的	9
从这里怎么回家	Travel-Query	从 这里 怎么 回家	9
自驾游去深圳都经过那些地方啊	Travel-Query	自驾游 去 深圳 都 经过 那些 地方 啊	9
查询北京飞桂林的飞机是否已经起飞了	Travel-Query	查询 北京 飞 桂林 的 飞机 是否 已经 起飞 了	9
订三张明天早上飞成都的经济舱	Travel-Query	订 三张 明天 早上 飞 成都 的 经济舱	9
快告诉我周四下午到杭州的航班	Travel-Query	快 告诉 我 周四 下午 到 杭州 的 航班	9
马上查询一下明天有飞广州的飞机吗	Travel-Query	马上 查询 一下 明天 有飞 广州 的 飞机 吗	9
回答我能不能订一张去天津的机票	Travel-Query	回答 我能 不能 订 一张 去 天津 的 机票	9
请看下从北京出发去往上海的路径规划	Travel-Query	请 看 下 从 北京 出发 去往 上海 的 路径 规划	9
中南民族大学怎么开车过去	Travel-Query	中南 民族 大学 怎么 开车 过去	9
查一下长春到山海关的汽车票	Travel-Query	查 一下 长春 到 山海关 的 汽车票	9
给我找一趟株洲去醴陵的最便宜的汽车票价格。	Travel-Query	给 我 找 一趟 株洲 去 醴陵 的 最 便宜 的 汽车票 价格 。	9
去查一查汉中开来的磁悬浮列车是今天的吗	Travel-Query	去查 一查 汉中 开来 的 磁悬浮列车 是 今天 的 吗	9
能把去海边的最快路线给我吗	Travel-Query	能 把 去 海边 的 最快 路线 给 我 吗	9
可以查询到邵通的高铁是几点的吗	Travel-Query	可以 查询 到 邵通 的 高铁 是 几点 的 吗	9
坐几路车能到万达广场西门啊	Travel-Query	坐 几路 车能 到 万达 广场 西门 啊	9
北京开往上海的特快列车进站了吗	Travel-Query	北京 开往 上海 的 特快 列车 进站 了 吗	9
现在告诉我长沙去往拉萨的动车今天有吗	Travel-Query	现在 告诉 我 长沙 去往 拉萨 的 动车 今天 有 吗	9
查看查看后天12点去广州的D21二等座还有吗	Travel-Query	查看 查看 后天 12 点去 广州 的 D21 二等 座 还有 吗	9
告诉他知道深圳去往丽江的动车今天有吗	Travel-Query	告诉 他 知道 深圳 去往 丽江 的 动车 今天 有 吗	9
从回学校的几条路线中找一条最优的给我	Travel-Query	从 回 学校 的 几条 路线 中 找 一条 最优 的 给 我	9
我想知道下午2点有重庆始发到济南的动车吗	Travel-Query	我 想 知道 下午 2 点有 重庆 始发 到 济南 的 动车 吗	9
告诉我后天12点去广州的T11火车票还有吗	Travel-Query	告诉 我 后天 12 点去 广州 的 T11 火车票 还有 吗	9
能不能给我订一张大理飞北京的航班头等舱票	Travel-Query	能 不能 给 我订 一张 大理 飞 北京 的 航班 头等舱 票	9
看一眼去往南平的动车哪天有票啊	Travel-Query	看 一眼 去往 南平 的 动车 哪天 有票 啊	9
快给我查询最快去一班长春去上海的机票还有几张	Travel-Query	快给我 查询 最快 去 一班 长春 去 上海 的 机票 还有 几张	9
查一下武汉至成都的机票价格。	Travel-Query	查 一下 武汉 至 成都 的 机票价格 。	9
给查找南京飞往悉尼的航班哪天有票	Travel-Query	给 查找 南京 飞往 悉尼 的 航班 哪天 有票	9
南京新街口怎么走，为我导航一下啦	Travel-Query	南京 新街口 怎么 走 ， 为 我 导航 一下 啦	9
查一下到洛杉矶的机票	Travel-Query	查 一下 到 洛杉矶 的 机票	9
