x	y	cut_x	y_label_idx
早上七点开空调	HomeAppliance-Control	早上 七点 开 空调	4
客厅空调风速低一些低一些	HomeAppliance-Control	客厅 空调 风速 低 一些 低 一些	4
打开烤箱的开关按钮	HomeAppliance-Control	打开 烤箱 的 开关 按钮	4
儿童房的空调调高4度	HomeAppliance-Control	儿童房 的 空调 调高 4 度	4
让洗衣机停止工作好吗	HomeAppliance-Control	让 洗衣机 停止 工作 好 吗	4
我要出去旅游几天，帮我把灯设置为离家模式吧	HomeAppliance-Control	我要 出去 旅游 几天 ， 帮 我 把 灯 设置 为 离家 模式 吧	4
可不可以把电饭煲开到蛋糕模式呢	HomeAppliance-Control	可不可以 把 电饭煲 开 到 蛋糕 模式 呢	4
这个烧水壶可以关闭了	HomeAppliance-Control	这个 烧 水壶 可以 关闭 了	4
把卧室的空调开到十八度	HomeAppliance-Control	把 卧室 的 空调 开 到 十八 度	4
温度咋还是这么低，告诉我下取暖器现在的温度	HomeAppliance-Control	温度 咋 还是 这么 低 ， 告诉 我下 取暖器 现在 的 温度	4
现在把空气净化器设置成高速模式行嘛	HomeAppliance-Control	现在 把 空气 净化器 设置 成 高速 模式 行嘛	4
这时候不想吹风扇了，帮我关掉	HomeAppliance-Control	这时候 不想 吹 风扇 了 ， 帮 我 关掉	4
放了些干货，帮我把冰箱变温抽屉调到珍品档	HomeAppliance-Control	放 了 些 干货 ， 帮 我 把 冰箱 变温 抽屉 调 到 珍品 档	4
我现在就得关空调	HomeAppliance-Control	我 现在 就 得关 空调	4
麻烦开启人体传感器	HomeAppliance-Control	麻烦 开启 人体 传感器	4
开启空气净化器睡眠模式	HomeAppliance-Control	开启 空气 净化器 睡眠 模式	4
请告诉我下现在空调是多少度哇	HomeAppliance-Control	请 告诉 我下 现在 空调 是 多少度 哇	4
调低把我的空调温度调低些	HomeAppliance-Control	调低 把 我 的 空调 温度 调低 些	4
客厅的空调调低到28	HomeAppliance-Control	客厅 的 空调 调低 到 28	4
帮我打开加湿器	HomeAppliance-Control	帮 我 打开 加湿器	4
鱼已经准备好了，帮我把蒸烤机的纯蒸模式开启吧	HomeAppliance-Control	鱼 已经 准备 好 了 ， 帮 我 把 蒸 烤机 的 纯蒸 模式 开启 吧	4
打开音响，让它自动播放轻快的音乐	HomeAppliance-Control	打开 音响 ， 让 它 自动播放 轻快 的 音乐	4
可以帮我把蒸烤箱切换到童锁功能不	HomeAppliance-Control	可以 帮 我 把 蒸 烤箱 切换 到 童锁 功能 不	4
帮我把冰箱冷冻室的温度调到零下25度吧	HomeAppliance-Control	帮 我 把 冰箱 冷冻室 的 温度 调 到 零下 25 度 吧	4
天气好干，湿度器升到70吧	HomeAppliance-Control	天气 好 干 ， 湿度器 升到 70 吧	4
把抽烟机的档位调大一些	HomeAppliance-Control	把 抽烟 机 的 档位 调大 一些	4
