x	y	cut_x	y_label_idx
河南新闻广播找一下啊是新闻台	Radio-Listen	河南 新闻广播 找 一下 啊 是 新闻台	7
交通类的武汉交通广播电台来一个吧	Radio-Listen	交通 类 的 武汉 交通 广播电台 来 一个 吧	7
播放香港电台的王菲的经典音乐	Radio-Listen	播放 香港电台 的 王菲 的 经典音乐	7
播放中央电台里的都市之声	Radio-Listen	播放 中央 电台 里 的 都市 之声	7
音乐老友记拨给我是山西音乐广播的	Radio-Listen	音乐 老友记 拨给 我 是 山西 音乐 广播 的	7
把盛志耘主持的神州之声播放一下呢	Radio-Listen	把 盛志耘 主持 的 神州 之声 播放 一下 呢	7
找陈博嘉洋轮流主播的活在成都	Radio-Listen	找 陈博嘉洋 轮流 主播 的 活 在 成都	7
经济类的广州人民广播电台经济环保广播可以收听给我吗	Radio-Listen	经济 类 的 广州 人民 广播电台 经济 环保 广播 可以 收听 给 我 吗	7
我想听开浩御书房的春秋大义	Radio-Listen	我 想 听 开浩御 书房 的 春秋 大义	7
在中央人民广播里面找千里共良宵	Radio-Listen	在 中央 人民 广播 里面 找 千里 共 良宵	7
夏天崔雪峰的投投是道找过去听听	Radio-Listen	夏天 崔 雪峰 的 投 投是 道 找 过去 听听	7
高莉主持的经济之声收听一下可以吗	Radio-Listen	高莉 主持 的 经济 之声 收听 一下 可以 吗	7
找岁月留声机就主播是凡华的那个	Radio-Listen	找 岁月 留声机 就 主播 是 凡华 的 那个	7
我要听维语广播的名人堂	Radio-Listen	我要 听 维语 广播 的 名人堂	7
放一个频率是九七点四的先听为快	Radio-Listen	放 一个 频率 是 九 七点 四 的 先 听 为 快	7
重庆之声里安琪的周末快乐听着太快乐了，现在我要听这个快乐	Radio-Listen	重庆 之声 里安 琪 的 周末 快乐 听 着 太 快乐 了 ， 现在 我要 听 这个 快乐	7
能继续收听汕头人民广播电台音乐台吗	Radio-Listen	能 继续 收听 汕头 人民 广播电台 音乐台 吗	7
深圳文艺电台第二台继续给我收听一下吧	Radio-Listen	深圳 文艺 电台 第二台 继续 给 我 收听 一下 吧	7
收听频率是一零三点三的徐州人民广播电台文艺台	Radio-Listen	收听 频率 是 一零 三点 三 的 徐州 人民 广播电台 文艺 台	7
我要听频率是一零五点六的助眠电台	Radio-Listen	我要 听 频率 是 一零 五点 六 的 助眠 电台	7
给我放一下文艺类的徐州人民广播电台文艺台	Radio-Listen	给 我 放 一下 文艺类 的 徐州 人民 广播电台 文艺 台	7
有石鑫的节目吧就听会儿I的能量馆吧	Radio-Listen	有 石鑫 的 节目 吧 就 听 会儿 I 的 能量 馆 吧	7
给我找北京体育广播的东奥加速版在FM102点5	Radio-Listen	给 我 找 北京 体育 广播 的 东奥 加速 版 在 FM102 点 5	7
频率是一零零点五的花都人民广播电台收听一下吧给我	Radio-Listen	频率 是 一零 零点 五 的 花都 人民 广播电台 收听 一下 吧 给 我	7
播电台节目孙芳主持的雨天	Radio-Listen	播 电台节目 孙芳 主持 的 雨天	7
请接着给我续放海洋的下雨天电台节目	Radio-Listen	请 接着 给 我续 放 海洋 的 下雨天 电台节目	7
请给我调出幺零零点七的江都人民广播电台	Radio-Listen	请 给 我 调出 幺 零 零点 七 的 江都 人民 广播电台	7
我想听郭伟主持的FM103.9	Radio-Listen	我 想 听 郭伟 主持 的 FM103.9	7
频率是一零一点零的广东卫星可以继续收听吗	Radio-Listen	频率 是 一零 一点 零 的 广东 卫星 可以 继续 收听 吗	7
能不能来一个频率是九九点一的山东文艺广播电台呢	Radio-Listen	能 不能 来 一个 频率 是 九九 点 一 的 山东 文艺 广播电台 呢	7
帮我搜索一些音乐电台	Radio-Listen	帮 我 搜索 一些 音乐 电台	7
收听文艺类的山东文艺广播电台	Radio-Listen	收听 文艺类 的 山东 文艺 广播电台	7
我想收听频率是九三点四的晚安电台	Radio-Listen	我 想 收听 频率 是 九 三点 四 的 晚安 电台	7
