x	y	cut_x	y_label_idx
海南今天几级风	Weather-Query	海南 今天 几级 风	11
昨天秦岭是不是刮风了	Weather-Query	昨天 秦岭 是不是 刮风 了	11
查询衡水晚上气温多少	Weather-Query	查询 衡水 晚上 气温 多少	11
帮我查一下玉溪紫外线指数是多少。	Weather-Query	帮 我查 一下 玉溪 紫外线 指数 是 多少 。	11
南昌明天会降雨吗	Weather-Query	南昌 明天 会 降雨 吗	11
这周二韶关的空气质量怎么样	Weather-Query	这 周二 韶关 的 空气质量 怎么样	11
洛阳明天的温度会低于零摄氏度吗？	Weather-Query	洛阳 明天 的 温度 会 低于 零摄氏度 吗 ？	11
循环播放近一周的香港湿度情况	Weather-Query	循环 播放 近 一周 的 香港 湿度 情况	11
明天上海还是会下雨吗	Weather-Query	明天 上海 还是 会 下雨 吗	11
播放汕头紫外线变化	Weather-Query	播放 汕头 紫外线 变化	11
能告诉我明天紫外线强么	Weather-Query	能 告诉 我 明天 紫外线 强 么	11
今天会下雪吗，晚点一起堆雪人能行吗	Weather-Query	今天 会 下雪 吗 ， 晚点 一起 堆雪人 能行 吗	11
13号去江门穿什么衣服不冷	Weather-Query	13 号 去 江门 穿 什么 衣服 不冷	11
回忆一下上周六海淀是雨天吗	Weather-Query	回忆 一下 上 周六 海淀 是 雨天 吗	11
下周一中山那儿有没有可能下大暴雨	Weather-Query	下周一 中山 那儿 有没有 可能 下 大暴雨	11
开封这15日内的穿衣指数怎么样呢	Weather-Query	开封 这 15 日内 的 穿衣 指数 怎么样 呢	11
查询台湾的空气质量怎么样	Weather-Query	查询 台湾 的 空气质量 怎么样	11
明天深圳会下冰雹吗	Weather-Query	明天 深圳 会下 冰雹 吗	11
搜索明天山东会下雨吗	Weather-Query	搜索 明天 山东 会 下雨 吗	11
查询下周甘肃气温会逐渐升高吗	Weather-Query	查询 下周 甘肃 气温 会 逐渐 升高 吗	11
后天有冷空气过来不会降温不	Weather-Query	后天 有 冷空气 过来 不会 降温 不	11
湖南五天后有台风吗	Weather-Query	湖南 五天 后 有 台风 吗	11
查询纽约近期的温度	Weather-Query	查询 纽约 近期 的 温度	11
郑州上月下雪了吗	Weather-Query	郑州 上 月 下雪 了 吗	11
西藏后天晚上八点会下雪吗？	Weather-Query	西藏 后天 晚上 八点 会 下雪 吗 ？	11
我想查看北京未来十五天的天气	Weather-Query	我 想 查看 北京 未来 十五天 的 天气	11
明天兴义会晴吗	Weather-Query	明天 兴义 会晴 吗	11
这几天香港穿衣适合啥	Weather-Query	这 几天 香港 穿衣 适合 啥	11
香港降雨情况怎么样	Weather-Query	香港 降雨 情况 怎么样	11
立即搜索保定紫外线指数	Weather-Query	立即 搜索 保定 紫外线 指数	11
看看8号上海是不是要下雨呢	Weather-Query	看看 8 号 上海 是不是 要 下雨 呢	11
今天下午降雨量多少	Weather-Query	今天下午 降雨量 多少	11
周二乌鲁木齐能晴吧？	Weather-Query	周二 乌鲁木齐 能晴 吧 ？	11
查询大理周日会大面积降雨吗	Weather-Query	查询 大理 周日 会 大面积 降雨 吗	11
查一下今天南京的最高气温	Weather-Query	查 一下 今天 南京 的 最高 气温	11
查询杭州的紫外线这几天高么	Weather-Query	查询 杭州 的 紫外线 这 几天 高 么	11
播放香格里拉最新的紫外线指数	Weather-Query	播放 香格里拉 最新 的 紫外线 指数	11
查询明天江苏会大面积降雨吗	Weather-Query	查询 明天 江苏 会 大面积 降雨 吗	11
南京紫外线强吗	Weather-Query	南京 紫外线 强 吗	11
给我准备今年甘肃的降水量	Weather-Query	给 我 准备 今年 甘肃 的 降水量	11
查下盐城未来三天的天气	Weather-Query	查下 盐城 未来 三天 的 天气	11
告诉我台湾这周有台风吗	Weather-Query	告诉 我 台湾 这周 有 台风 吗	11
石家庄今天最高几度	Weather-Query	石家庄 今天 最高 几度	11
岳阳明天会下雨吗？	Weather-Query	岳阳 明天 会 下雨 吗 ？	11
想带孩子出去玩今天杭州天气如何	Weather-Query	想带 孩子 出去玩 今天 杭州 天气 如何	11
六月末穿裙子去武功山会冷吗	Weather-Query	六月 末 穿 裙子 去 武功山 会 冷 吗	11
大后天大同是多云转晴的天气吗	Weather-Query	大后天 大同 是 多云转晴 的 天气 吗	11
想去博物院，这周末天气怎么样呢？	Weather-Query	想 去 博物院 ， 这 周末 天气 怎么样 呢 ？	11
雨天在丽江骑车可以吗	Weather-Query	雨天 在 丽江 骑车 可以 吗	11
明天紫外线怎么样	Weather-Query	明天 紫外线 怎么样	11
近期山东穿衣指数如何	Weather-Query	近期 山东 穿衣 指数 如何	11
后天有风吗公主岭这里	Weather-Query	后天 有风 吗 公主岭 这里	11
上海这周末空气湿度多少	Weather-Query	上海 这 周末 空气 湿度 多少	11
明天能到15度吗	Weather-Query	明天 能到 15 度 吗	11
立即搜索玉田紫外线指数	Weather-Query	立即 搜索 玉田 紫外线 指数	11
立即查看大连海边的风向和湿度	Weather-Query	立即 查看 大连 海边 的 风向 和 湿度	11
查询明天秦皇岛下大雨情况	Weather-Query	查询 明天 秦皇岛 下 大雨 情况	11
五大连池最近是晴天吗	Weather-Query	五大连池 最近 是 晴天 吗	11
长春气温会逐步升高吗	Weather-Query	长春 气温 会 逐步 升高 吗	11
查一下明天青岛空气质量怎么样	Weather-Query	查 一下 明天 青岛 空气质量 怎么样	11
明天湖南的温度怎么样	Weather-Query	明天 湖南 的 温度 怎么样	11
海淀风大吗	Weather-Query	海淀 风大 吗	11
北京今天空气怎么样是良还是什么	Weather-Query	北京 今天 空气 怎么样 是良 还是 什么	11
盐城最近昼夜温差大不大	Weather-Query	盐城 最近 昼夜 温差 大不大	11
现在去银川穿条单裤就行吧	Weather-Query	现在 去 银川 穿条 单裤 就行 吧	11
查询明天苏杭是不是晴天	Weather-Query	查询 明天 苏杭 是不是 晴天	11
义务昨天下冰雹了吗	Weather-Query	义务 昨天 下 冰雹 了 吗	11
查询明早海淀会大范围降雪吗	Weather-Query	查询 明早 海淀 会大 范围 降雪 吗	11
明天江苏会下雨吗	Weather-Query	明天 江苏 会 下雨 吗	11
明天沧州多地降雨吗	Weather-Query	明天 沧州 多地 降雨 吗	11
查询周五哈尔滨是晴天吗	Weather-Query	查询 周五 哈尔滨 是 晴天 吗	11
查一下石家庄今天的最低温度啊	Weather-Query	查 一下 石家庄 今天 的 最低温度 啊	11
查询周五衡水紫外线怎么样	Weather-Query	查询 周五 衡水 紫外线 怎么样	11
过会儿告诉我明天三亚的空气质量好吗	Weather-Query	过会儿 告诉 我 明天 三亚 的 空气质量 好 吗	11
10月3号拉萨的空气质量怎么样	Weather-Query	10 月 3 号 拉萨 的 空气质量 怎么样	11
