x	y	cut_x	y_label_idx
我想看挑战两把s686打突变团竞的游戏视频	Video-Play	我 想 看 挑战 两把 s686 打 突变 团 竞 的 游戏 视频	10
我想看和平精英上战神必备技巧的游戏视频	Video-Play	我 想 看 和平 精英 上 战神 必备 技巧 的 游戏 视频	10
2019年古装爱情电视剧小女花不弃的花絮播放一下	Video-Play	2019 年 古装 爱情 电视剧 小女 花不弃 的 花絮 播放 一下	10
给我转播今天的女子双打乒乓球比赛现场	Video-Play	给 我 转播 今天 的 女子双打 乒乓球 比赛 现场	10
给我找一个魔兽世界的比赛视频	Video-Play	给 我 找 一个 魔兽 世界 的 比赛 视频	10
我想看2020年谍战电视剧秋蝉第三集花絮	Video-Play	我 想 看 2020 年谍 战 电视剧 秋蝉 第三集 花絮	10
给我播放雨下解说今年讲解的所有关于植物大战僵尸的视频	Video-Play	给 我 播放 雨下 解说 今年 讲解 的 所有 关于 植物 大战 僵尸 的 视频	10
很想看日本的电影预告随便播一个给我	Video-Play	很 想 看 日本 的 电影 预告 随便 播 一个 给 我	10
查找国产动漫全职高手第一季	Video-Play	查找 国产 动漫 全职 高手 第一季	10
香港的电视剧鹿鼎记第三集花絮播放出来	Video-Play	香港 的 电视剧 鹿鼎记 第三集 花絮 播放 出来	10
今日法国有什么新闻看呢	Video-Play	今日 法国 有 什么 新闻 看 呢	10
播一个晚上23点45更新的国产动漫	Video-Play	播 一个 晚上 23 点 45 更新 的 国产 动漫	10
王力宏2019年演唱会的视频找来看看	Video-Play	王力宏 2019 年 演唱会 的 视频 找 来 看看	10
动漫虫师第10集帮我找一下吧	Video-Play	动漫 虫师 第 10 集帮 我 找 一下 吧	10
给我搜索2017年有关于讲解韩信的游戏视频	Video-Play	给 我 搜索 2017 年 有 关于 讲解 韩信 的 游戏 视频	10
我想看2021年谍战电视剧风暴舞幕后故事	Video-Play	我 想 看 2021 年谍 战 电视剧 风暴 舞 幕后 故事	10
立即查看综艺向往的生活	Video-Play	立即 查看 综艺 向往 的 生活	10
给我来一个韩国女神李知恩iu唱blueming的音乐视频吧	Video-Play	给 我 来 一个 韩国 女神 李 知恩 iu 唱 blueming 的 音乐 视频 吧	10
2019年男篮世界杯巴西对希腊的比赛视频	Video-Play	2019 年 男篮 世界杯 巴西 对 希腊 的 比赛 视频	10
我想看蜡笔小新第二季的和爸爸单独看家	Video-Play	我 想 看 蜡笔小新 第二季 的 和 爸爸 单独 看家	10
章子怡的首部电视剧的幕后花絮放来看一下	Video-Play	章子怡 的 首部 电视剧 的 幕后 花絮 放 来看 一下	10
能不能给我重新播放2012年伦敦奥运会1500米游泳孙杨击败霍顿夺冠的视频	Video-Play	能 不能 给 我 重新 播放 2012 年 伦敦 奥运会 1500 米 游泳 孙杨 击败 霍顿 夺冠 的 视频	10
